base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
stations,{'all': 0},200,"{'lon': -54.34, 'lat': -34.48}",1552291570.0,3440777.0,"{'temp': 50.23, 'pressure': 1022.09, 'humidity': 86, 'temp_min': 50.23, 'temp_max': 50.23, 'sea_level': 1022.09, 'grnd_level': 1004.95}",,Rocha,,,"{'message': 0.0034, 'country': 'UY', 'sunrise': 1552296799, 'sunset': 1552341641}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.85, 'deg': 115.001}"
stations,{'all': 90},200,"{'lon': 18.42, 'lat': -33.93}",1552291264.0,3369157.0,"{'temp': 61.75, 'pressure': 1018, 'humidity': 93, 'temp_min': 60.01, 'temp_max': 64}",,Cape Town,{'1h': 1.46},,"{'type': 1, 'id': 1899, 'message': 0.0046, 'country': 'ZA', 'sunrise': 1552279341, 'sunset': 1552324181}",6000.0,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]","{'speed': 14.99, 'deg': 190}"
stations,{'all': 40},200,"{'lon': -74.98, 'lat': 39.31}",1552291568.0,4501427.0,"{'temp': 43.45, 'pressure': 1017, 'humidity': 100, 'temp_min': 39.99, 'temp_max': 46.4}",,Port Elizabeth,,,"{'type': 1, 'id': 6276, 'message': 0.0056, 'country': 'US', 'sunrise': 1552303043, 'sunset': 1552345375}",6437.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 5.82, 'deg': 320}"
stations,{'all': 0},200,"{'lon': 138.6, 'lat': -33.21}",1552291570.0,2069194.0,"{'temp': 63.96, 'pressure': 1013.73, 'humidity': 74, 'temp_min': 63.96, 'temp_max': 63.96, 'sea_level': 1013.73, 'grnd_level': 956.63}",,Jamestown,,,"{'message': 0.0042, 'country': 'AU', 'sunrise': 1552250500, 'sunset': 1552295347}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 9.1, 'deg': 228.501}"
stations,{'all': 40},200,"{'lon': 147.06, 'lat': -42.78}",1552291516.0,2155415.0,"{'temp': 63.39, 'pressure': 1002, 'humidity': 37, 'temp_min': 60.01, 'temp_max': 66.2}",,New Norfolk,,,"{'type': 1, 'id': 9545, 'message': 0.0035, 'country': 'AU', 'sunrise': 1552248184, 'sunset': 1552293589}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 13.87, 'deg': 250}"
stations,{'all': 75},200,"{'lon': 1.45, 'lat': 52.47}",1552291565.0,2656067.0,"{'temp': 38.86, 'pressure': 1019, 'humidity': 100, 'temp_min': 37, 'temp_max': 41}",,Broome,,,"{'type': 1, 'id': 1483, 'message': 0.0048, 'country': 'GB', 'sunrise': 1552285076, 'sunset': 1552326683}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 14.99, 'deg': 260}"
stations,{'all': 80},200,"{'lon': -50.22, 'lat': -30.17}",1552291571.0,3466165.0,"{'temp': 67.38, 'pressure': 1018.93, 'humidity': 95, 'temp_min': 67.38, 'temp_max': 67.38, 'sea_level': 1018.93, 'grnd_level': 1009.03}",,Cidreira,{'3h': 0.36375},,"{'message': 0.0033, 'country': 'BR', 'sunrise': 1552295913, 'sunset': 1552340555}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 10.78, 'deg': 82.0009}"
stations,{'all': 0},200,"{'lon': -45.24, 'lat': 60.14}",1552291571.0,3421765.0,"{'temp': 26.88, 'pressure': 1002.93, 'humidity': 100, 'temp_min': 26.88, 'temp_max': 26.88, 'sea_level': 1002.93, 'grnd_level': 990.63}",,Nanortalik,,,"{'message': 0.0072, 'country': 'GL', 'sunrise': 1552296574, 'sunset': 1552337611}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 33.38, 'deg': 300.501}"
stations,{'all': 92},200,"{'lon': 141.3, 'lat': -2.67}",1552291572.0,2084442.0,"{'temp': 82.68, 'pressure': 1008.09, 'humidity': 99, 'temp_min': 82.68, 'temp_max': 82.68, 'sea_level': 1008.09, 'grnd_level': 1007.91}",,Vanimo,,,"{'message': 0.006, 'country': 'PG', 'sunrise': 1552250452, 'sunset': 1552294129}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 7.99, 'deg': 310.501}"
stations,{'all': 20},200,"{'lon': 12.15, 'lat': -15.19}",1552287600.0,3347019.0,"{'temp': 69.8, 'pressure': 1014, 'humidity': 77, 'temp_min': 69.8, 'temp_max': 69.8}",,Namibe,,,"{'type': 1, 'id': 2155, 'message': 0.0038, 'country': 'AO', 'sunrise': 1552281238, 'sunset': 1552325314}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 6.93, 'deg': 240}"
